Treatment,Module,Eigenvalue
Mono_Cont,1,0.336290784
Mono_Cont,1,-0.223216418
Mono_Cont,1,0.607320165
Poly_Cont,1,-0.084135557
Poly_Cont,1,0.403320293
Poly_Cont,1,-0.061793172
Mono_Pest,1,-0.377316585
Mono_Pest,1,-0.169316098
Mono_Pest,1,0.058352684
Poly_Pest,1,-0.272933213
Poly_Pest,1,-0.002703579
Poly_Pest,1,-0.213869304
Mono_Cont,2,-0.456312436
Mono_Cont,2,-0.072421485
Mono_Cont,2,-0.257100246
Poly_Cont,2,0.191896434
Poly_Cont,2,0.71796087
Poly_Cont,2,-0.14005455
Mono_Pest,2,-0.253675266
Mono_Pest,2,0.066617357
Mono_Pest,2,0.158501248
Poly_Pest,2,0.05696178
Poly_Pest,2,0.153958966
Poly_Pest,2,-0.166332672
Mono_Cont,3,0.516921062
Mono_Cont,3,-0.15123614
Mono_Cont,3,-0.172841513
Poly_Cont,3,-0.216475418
Poly_Cont,3,-0.095604631
Poly_Cont,3,0.253854478
Mono_Pest,3,0.634431715
Mono_Pest,3,0.014782032
Mono_Pest,3,-0.229903676
Poly_Pest,3,-0.150596173
Poly_Pest,3,-0.203516327
Poly_Pest,3,-0.199815408
Mono_Cont,4,0.628594673
Mono_Cont,4,0.170139274
Mono_Cont,4,-0.022088216
Poly_Cont,4,-0.166858313
Poly_Cont,4,0.087034354
Poly_Cont,4,-0.131426914
Mono_Pest,4,0.057563396
Mono_Pest,4,0.141527825
Mono_Pest,4,0.291778063
Poly_Pest,4,-0.516024512
Poly_Pest,4,-0.238065707
Poly_Pest,4,-0.302173923
Mono_Cont,5,0.169849754
Mono_Cont,5,0.368666023
Mono_Cont,5,0.031913086
Poly_Cont,5,-0.078385868
Poly_Cont,5,0.547251326
Poly_Cont,5,-0.416832012
Mono_Pest,5,-0.285729165
Mono_Pest,5,-0.003154956
Mono_Pest,5,0.292266658
Poly_Pest,5,-0.384298889
Poly_Pest,5,-0.046908484
Poly_Pest,5,-0.194637472
Mono_Cont,6,0.111417297
Mono_Cont,6,-0.313840415
Mono_Cont,6,-0.557119316
Poly_Cont,6,0.241911643
Poly_Cont,6,0.378288988
Poly_Cont,6,0.349592891
Mono_Pest,6,-0.264664874
Mono_Pest,6,0.084712225
Mono_Pest,6,-0.336332775
Poly_Pest,6,0.183269398
Poly_Pest,6,-0.046790486
Poly_Pest,6,0.169555423
Mono_Cont,7,-0.353151638
Mono_Cont,7,-0.216920328
Mono_Cont,7,-0.104952619
Poly_Cont,7,0.55248674
Poly_Cont,7,-0.392195768
Poly_Cont,7,-0.057417704
Mono_Pest,7,-0.105125841
Mono_Pest,7,-0.196232322
Mono_Pest,7,0.420023452
Poly_Pest,7,0.285434013
Poly_Pest,7,0.213035593
Poly_Pest,7,-0.044983578
Mono_Cont,8,0.827284054
Mono_Cont,8,0.140303301
Mono_Cont,8,0.1579705
Poly_Cont,8,-0.018445035
Poly_Cont,8,-0.148095558
Poly_Cont,8,-0.142631576
Mono_Pest,8,-0.280696433
Mono_Pest,8,-0.018124434
Mono_Pest,8,-0.376499151
Poly_Pest,8,-0.043994001
Poly_Pest,8,-0.068877888
Poly_Pest,8,-0.028193778
Mono_Cont,9,0.022909053
Mono_Cont,9,-0.215804413
Mono_Cont,9,-0.001252203
Poly_Cont,9,-0.148919424
Poly_Cont,9,-0.396976198
Poly_Cont,9,0.212996194
Mono_Pest,9,0.150216973
Mono_Pest,9,0.666557935
Mono_Pest,9,-0.383128248
Poly_Pest,9,0.113475591
Poly_Pest,9,-0.23480139
Poly_Pest,9,0.214726129
Mono_Cont,10,-0.081164426
Mono_Cont,10,-0.104796538
Mono_Cont,10,-0.134129138
Poly_Cont,10,-0.05164625
Poly_Cont,10,-0.130359944
Poly_Cont,10,0.937660801
Mono_Pest,10,0.092863739
Mono_Pest,10,-0.10759935
Mono_Pest,10,-0.117024991
Poly_Pest,10,-0.078497226
Poly_Pest,10,-0.104558251
Poly_Pest,10,-0.120748427
Mono_Cont,11,0.184904653
Mono_Cont,11,-0.023506837
Mono_Cont,11,0.095494849
Poly_Cont,11,0.082739096
Poly_Cont,11,-0.556219929
Poly_Cont,11,0.260590799
Mono_Pest,11,0.249582245
Mono_Pest,11,-0.665166362
Mono_Pest,11,0.187662852
Poly_Pest,11,0.082480431
Poly_Pest,11,0.150973008
Poly_Pest,11,-0.049534805
Mono_Cont,12,-0.204608012
Mono_Cont,12,0.230600914
Mono_Cont,12,0.276078873
Poly_Cont,12,0.042627204
Poly_Cont,12,-0.277569036
Poly_Cont,12,-0.29842203
Mono_Pest,12,-0.080247866
Mono_Pest,12,0.667833944
Mono_Pest,12,-0.311251733
Poly_Pest,12,-0.059206836
Poly_Pest,12,-0.225185417
Poly_Pest,12,0.239349994
