Chemical_shift,module
0.699999,blue
0.749999,blue
0.849998,blue
1.39999,blue
1.89999,blue
1.94999,blue
1.99999,blue
2.04999,blue
2.09999,blue
2.14999,blue
2.19999,blue
2.24999,blue
2.29999,blue
2.34999,blue
2.39999,blue
2.44999,blue
2.54999,blue
2.64999,blue
2.79999,blue
2.99999,blue
3.14998,blue
3.54998,blue
3.69998,blue
3.84998,blue
3.89998,blue
4.04998,blue
4.09998,blue
4.14998,blue
4.19998,blue
5.14997,blue
5.44997,blue
5.79997,blue
5.84997,blue
5.89997,blue
5.94997,blue
5.99997,blue
6.04997,blue
6.09997,blue
6.14997,blue
6.19997,blue
6.24997,blue
6.34997,blue
6.54996,blue
6.59996,blue
6.99996,blue
7.09996,blue
7.24996,blue
7.79996,blue
0.799998,brown
2.84999,brown
3.09998,brown
3.64998,brown
3.99998,brown
4.39998,brown
4.44998,brown
4.49998,brown
4.54998,brown
4.59998,brown
4.64998,brown
5.24997,brown
6.79996,brown
6.84996,brown
6.89996,brown
6.94996,brown
7.14996,brown
4.99997,green
5.34997,green
6.39997,green
7.19996,green
7.64996,green
7.69996,green
2.94999,grey
6.44996,grey
7.34996,grey
7.39996,grey
0.649999,red
4.34998,red
6.74996,red
7.59996,red
0.55,turquoise
0.599999,turquoise
0.899998,turquoise
0.949997,turquoise
0.999997,turquoise
1.05,turquoise
1.25,turquoise
1.3,turquoise
1.35,turquoise
1.44999,turquoise
1.49999,turquoise
1.54999,turquoise
1.59999,turquoise
1.64999,turquoise
1.79999,turquoise
1.84999,turquoise
2.49999,turquoise
2.59999,turquoise
2.69999,turquoise
2.74999,turquoise
2.89999,turquoise
3.04998,turquoise
3.19998,turquoise
3.49998,turquoise
3.74998,turquoise
3.79998,turquoise
3.94998,turquoise
4.24998,turquoise
4.29998,turquoise
4.94997,turquoise
5.04997,turquoise
5.09997,turquoise
5.29997,turquoise
5.39997,turquoise
5.49997,turquoise
5.54997,turquoise
5.59997,turquoise
5.64997,turquoise
5.69997,turquoise
5.74997,turquoise
6.29997,turquoise
6.49996,turquoise
6.64996,turquoise
6.69996,turquoise
7.04996,turquoise
7.29996,turquoise
7.44996,turquoise
7.49996,turquoise
7.54996,turquoise
7.74996,turquoise
7.84996,turquoise
7.89996,turquoise
7.94996,turquoise
7.99996,turquoise
8.04996,turquoise
8.09996,turquoise
8.14995,turquoise
8.19995,turquoise
8.24995,turquoise
8.29995,turquoise
8.34995,turquoise
8.39995,turquoise
8.44995,turquoise
8.49995,turquoise
8.54995,turquoise
8.59995,turquoise
8.64995,turquoise
8.69995,turquoise
8.74995,turquoise
8.79995,turquoise
8.84995,turquoise
8.89995,turquoise
8.94995,turquoise
8.99995,turquoise
9.04995,turquoise
9.09995,turquoise
9.14995,turquoise
9.19995,turquoise
9.24995,turquoise
9.29995,turquoise
9.34995,turquoise
9.39995,turquoise
9.44995,turquoise
9.49995,turquoise
1.1,yellow
1.15,yellow
1.2,yellow
1.69999,yellow
1.74999,yellow
3.59998,yellow
5.19997,yellow
