Chemical_shift,module
1.59999,black
1.64999,black
1.69999,black
1.84999,black
2.24999,black
2.99999,black
0.849998,blue
0.899998,blue
0.949997,blue
0.999997,blue
1.05,blue
1.1,blue
1.15,blue
1.2,blue
1.25,blue
1.3,blue
1.35,blue
1.39999,blue
1.44999,blue
1.49999,blue
1.54999,blue
1.79999,blue
2.14999,blue
2.19999,blue
2.29999,blue
3.04998,blue
3.59998,blue
5.04997,blue
5.39997,blue
7.59996,blue
7.64996,blue
8.04996,blue
8.09996,blue
1.99999,brown
2.44999,brown
2.49999,brown
2.74999,brown
2.89999,brown
3.19998,brown
4.99997,brown
6.29997,brown
6.39997,brown
6.49996,brown
6.59996,brown
6.64996,brown
6.94996,brown
7.39996,brown
7.69996,brown
7.84996,brown
3.49998,green
3.69998,green
3.84998,green
3.89998,green
4.04998,green
4.19998,green
5.09997,green
5.44997,green
3.54998,greenyellow
3.64998,greenyellow
3.74998,greenyellow
3.79998,greenyellow
3.99998,greenyellow
3.94998,magenta
4.24998,magenta
5.29997,magenta
5.34997,magenta
7.24996,magenta
7.29996,magenta
0.799998,pink
2.09999,pink
5.54997,pink
6.99996,pink
7.44996,pink
7.89996,pink
1.74999,purple
4.59998,purple
4.64998,purple
5.19997,purple
5.24997,purple
2.94999,red
5.14997,red
5.84997,red
6.04997,red
6.14997,red
6.19997,red
6.24997,red
6.44996,red
6.54996,tan
7.34996,tan
7.79996,tan
0.55,turquoise
0.599999,turquoise
0.649999,turquoise
0.699999,turquoise
0.749999,turquoise
1.89999,turquoise
1.94999,turquoise
2.04999,turquoise
2.34999,turquoise
2.39999,turquoise
2.54999,turquoise
2.59999,turquoise
2.64999,turquoise
2.69999,turquoise
2.79999,turquoise
3.14998,turquoise
4.09998,turquoise
4.14998,turquoise
4.29998,turquoise
4.34998,turquoise
4.39998,turquoise
4.44998,turquoise
4.49998,turquoise
4.54998,turquoise
4.94997,turquoise
5.49997,turquoise
5.59997,turquoise
5.64997,turquoise
5.69997,turquoise
5.74997,turquoise
6.69996,turquoise
7.04996,turquoise
7.09996,turquoise
7.14996,turquoise
7.19996,turquoise
7.49996,turquoise
7.54996,turquoise
7.74996,turquoise
7.94996,turquoise
8.14995,turquoise
8.19995,turquoise
8.24995,turquoise
8.29995,turquoise
8.34995,turquoise
8.39995,turquoise
8.44995,turquoise
8.49995,turquoise
8.54995,turquoise
8.59995,turquoise
8.64995,turquoise
8.69995,turquoise
8.74995,turquoise
8.79995,turquoise
8.84995,turquoise
8.89995,turquoise
8.94995,turquoise
8.99995,turquoise
9.04995,turquoise
9.09995,turquoise
9.14995,turquoise
9.19995,turquoise
9.24995,turquoise
9.29995,turquoise
9.34995,turquoise
9.39995,turquoise
9.44995,turquoise
9.49995,turquoise
2.84999,yellow
3.09998,yellow
5.79997,yellow
5.89997,yellow
5.94997,yellow
5.99997,yellow
6.09997,yellow
6.34997,yellow
6.74996,yellow
6.79996,yellow
6.84996,yellow
6.89996,yellow
7.99996,yellow
